task_name,arg_type,dtype,hidden_size,num_tokens,world_size,rank,num_shared_experts,dp_size,sp_size,num_experts,topk,ep_size,latency(us),read_bytes(B),write_bytes(B),io_bytes(B),mem_bw(GB/s),calc_flops,calc_flops_power(tflops),calc_mem_ratio
moe_gather,llm,bfloat16,4096,32,8,0,0,1,1,64,4,8,21.98,262208,131072,393280,17.893,0,0.0,0.0
moe_gather,llm,bfloat16,4096,40,8,0,0,1,1,64,4,8,9.914,327760,163840,491600,49.586,0,0.0,0.0
moe_gather,llm,bfloat16,4096,48,8,0,0,1,1,64,4,8,11.602,393312,196608,589920,50.846,0,0.0,0.0
moe_gather,llm,bfloat16,4096,56,8,0,0,1,1,64,4,8,12.304,458864,229376,688240,55.936,0,0.0,0.0
moe_gather,llm,bfloat16,4096,64,8,0,0,1,1,64,4,8,13.082,524416,262144,786560,60.126,0,0.0,0.0
moe_gather,llm,bfloat16,4096,72,8,0,0,1,1,64,4,8,13.9,589968,294912,884880,63.66,0,0.0,0.0
moe_gather,llm,bfloat16,4096,80,8,0,0,1,1,64,4,8,14.344,655520,327680,983200,68.544,0,0.0,0.0
moe_gather,llm,bfloat16,4096,88,8,0,0,1,1,64,4,8,15.104,721072,360448,1081520,71.604,0,0.0,0.0
moe_gather,llm,bfloat16,4096,96,8,0,0,1,1,64,4,8,15.38,786624,393216,1179840,76.712,0,0.0,0.0
moe_gather,llm,bfloat16,4096,104,8,0,0,1,1,64,4,8,15.108,852176,425984,1278160,84.602,0,0.0,0.0
moe_gather,llm,bfloat16,4096,112,8,0,0,1,1,64,4,8,14.58,917728,458752,1376480,94.408,0,0.0,0.0
moe_gather,llm,bfloat16,4096,120,8,0,0,1,1,64,4,8,15.618,983280,491520,1474800,94.429,0,0.0,0.0
moe_gather,llm,bfloat16,4096,128,8,0,0,1,1,64,4,8,16.988,1048832,524288,1573120,92.602,0,0.0,0.0
moe_gather,llm,bfloat16,4096,144,8,0,0,1,1,64,4,8,18.374,1179936,589824,1769760,96.319,0,0.0,0.0
moe_gather,llm,bfloat16,4096,160,8,0,0,1,1,64,4,8,20.574,1311040,655360,1966400,95.576,0,0.0,0.0
moe_gather,llm,bfloat16,4096,176,8,0,0,1,1,64,4,8,21.968,1442144,720896,2163040,98.462,0,0.0,0.0
moe_gather,llm,bfloat16,4096,192,8,0,0,1,1,64,4,8,23.248,1573248,786432,2359680,101.501,0,0.0,0.0
moe_gather,llm,bfloat16,4096,208,8,0,0,1,1,64,4,8,25.35,1704352,851968,2556320,100.84,0,0.0,0.0
moe_gather,llm,bfloat16,4096,224,8,0,0,1,1,64,4,8,27.388,1835456,917504,2752960,100.516,0,0.0,0.0
moe_gather,llm,bfloat16,4096,240,8,0,0,1,1,64,4,8,29.22,1966560,983040,2949600,100.945,0,0.0,0.0
moe_gather,llm,bfloat16,4096,256,8,0,0,1,1,64,4,8,31.17,2097664,1048576,3146240,100.938,0,0.0,0.0
moe_gather,llm,bfloat16,4096,288,8,0,0,1,1,64,4,8,34.168,2359872,1179648,3539520,103.592,0,0.0,0.0
moe_gather,llm,bfloat16,4096,320,8,0,0,1,1,64,4,8,37.536,2622080,1310720,3932800,104.773,0,0.0,0.0
moe_gather,llm,bfloat16,4096,352,8,0,0,1,1,64,4,8,41.874,2884288,1441792,4326080,103.311,0,0.0,0.0
moe_gather,llm,bfloat16,4096,384,8,0,0,1,1,64,4,8,44.946,3146496,1572864,4719360,105.0,0,0.0,0.0
moe_gather,llm,bfloat16,4096,416,8,0,0,1,1,64,4,8,47.904,3408704,1703936,5112640,106.726,0,0.0,0.0
moe_gather,llm,bfloat16,4096,448,8,0,0,1,1,64,4,8,52.198,3670912,1835008,5505920,105.481,0,0.0,0.0
moe_gather,llm,bfloat16,4096,480,8,0,0,1,1,64,4,8,55.658,3933120,1966080,5899200,105.991,0,0.0,0.0
moe_gather,llm,bfloat16,4096,512,8,0,0,1,1,64,4,8,58.598,4195328,2097152,6292480,107.383,0,0.0,0.0
moe_gather,llm,bfloat16,4096,640,8,0,0,1,1,64,4,8,72.798,5244160,2621440,7865600,108.046,0,0.0,0.0
moe_gather,llm,bfloat16,4096,768,8,0,0,1,1,64,4,8,86.638,6292992,3145728,9438720,108.944,0,0.0,0.0
moe_gather,llm,bfloat16,4096,896,8,0,0,1,1,64,4,8,101.576,7341824,3670016,11011840,108.41,0,0.0,0.0
moe_gather,llm,bfloat16,4096,1024,8,0,0,1,1,64,4,8,115.497,8390656,4194304,12584960,108.964,0,0.0,0.0
moe_gather,llm,bfloat16,4096,1152,8,0,0,1,1,64,4,8,129.735,9439488,4718592,14158080,109.131,0,0.0,0.0
moe_gather,llm,bfloat16,4096,1280,8,0,0,1,1,64,4,8,143.443,10488320,5242880,15731200,109.669,0,0.0,0.0
moe_gather,llm,bfloat16,4096,1408,8,0,0,1,1,64,4,8,157.379,11537152,5767168,17304320,109.953,0,0.0,0.0
moe_gather,llm,bfloat16,4096,1536,8,0,0,1,1,64,4,8,172.871,12585984,6291456,18877440,109.2,0,0.0,0.0
moe_gather,llm,bfloat16,4096,1664,8,0,0,1,1,64,4,8,189.245,13634816,6815744,20450560,108.064,0,0.0,0.0
moe_gather,llm,bfloat16,4096,1792,8,0,0,1,1,64,4,8,204.029,14683648,7340032,22023680,107.944,0,0.0,0.0
moe_gather,llm,bfloat16,4096,1920,8,0,0,1,1,64,4,8,226.759,15732480,7864320,23596800,104.061,0,0.0,0.0
moe_gather,llm,bfloat16,4096,2048,8,0,0,1,1,64,4,8,244.237,16781312,8388608,25169920,103.055,0,0.0,0.0
moe_gather,llm,bfloat16,4096,2176,8,0,0,1,1,64,4,8,263.041,17830144,8912896,26743040,101.669,0,0.0,0.0
moe_gather,llm,bfloat16,4096,2304,8,0,0,1,1,64,4,8,281.192,18878976,9437184,28316160,100.701,0,0.0,0.0
moe_gather,llm,bfloat16,4096,2432,8,0,0,1,1,64,4,8,300.16,19927808,9961472,29889280,99.578,0,0.0,0.0
moe_gather,llm,bfloat16,4096,2560,8,0,0,1,1,64,4,8,317.786,20976640,10485760,31462400,99.005,0,0.0,0.0
moe_gather,llm,bfloat16,4096,2688,8,0,0,1,1,64,4,8,336.899,22025472,11010048,33035520,98.058,0,0.0,0.0
moe_gather,llm,bfloat16,4096,2816,8,0,0,1,1,64,4,8,353.825,23074304,11534336,34608640,97.813,0,0.0,0.0
moe_gather,llm,bfloat16,4096,2944,8,0,0,1,1,64,4,8,371.056,24123136,12058624,36181760,97.51,0,0.0,0.0
moe_gather,llm,bfloat16,4096,3072,8,0,0,1,1,64,4,8,387.069,25171968,12582912,37754880,97.54,0,0.0,0.0
moe_gather,llm,bfloat16,4096,3200,8,0,0,1,1,64,4,8,403.669,26220800,13107200,39328000,97.426,0,0.0,0.0
moe_gather,llm,bfloat16,4096,3328,8,0,0,1,1,64,4,8,419.438,27269632,13631488,40901120,97.514,0,0.0,0.0
moe_gather,llm,bfloat16,4096,3456,8,0,0,1,1,64,4,8,435.586,28318464,14155776,42474240,97.51,0,0.0,0.0
moe_gather,llm,bfloat16,4096,3584,8,0,0,1,1,64,4,8,453.108,29367296,14680064,44047360,97.212,0,0.0,0.0
