task_name,arg_type,dtype,compute_mode,hidden_size,sp_size,num_tokens,num_experts,topk,latency(us),read_bytes(B),write_bytes(B),io_bytes(B),mem_bw(GB/s),calc_flops,calc_flops_power(tflops),calc_mem_ratio
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,32,64,4,4.39,8192,1024,9216,2.099,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,40,64,4,5.11,10240,1280,11520,2.254,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,48,64,4,5.142,12288,1536,13824,2.689,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,56,64,4,5.262,14336,1792,16128,3.065,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,64,64,4,5.276,16384,2048,18432,3.494,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,72,64,4,5.334,18432,2304,20736,3.888,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,80,64,4,5.23,20480,2560,23040,4.405,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,88,64,4,5.614,22528,2816,25344,4.515,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,96,64,4,5.636,24576,3072,27648,4.906,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,104,64,4,6.366,26624,3328,29952,4.705,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,112,64,4,6.62,28672,3584,32256,4.873,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,120,64,4,6.526,30720,3840,34560,5.296,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,128,64,4,6.602,32768,4096,36864,5.584,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,144,64,4,7.156,36864,4608,41472,5.796,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,160,64,4,7.218,40960,5120,46080,6.384,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,176,64,4,8.428,45056,5632,50688,6.015,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,192,64,4,8.432,49152,6144,55296,6.558,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,208,64,4,9.174,53248,6656,59904,6.53,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,224,64,4,9.104,57344,7168,64512,7.086,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,240,64,4,9.746,61440,7680,69120,7.092,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,256,64,4,10.26,65536,8192,73728,7.186,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,288,64,4,11.016,73728,9216,82944,7.529,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,320,64,4,11.662,81920,10240,92160,7.903,0,0.0,0.0
