task_name,arg_type,dtype,compute_mode,hidden_size,sp_size,num_tokens,num_experts,topk,latency(us),read_bytes(B),write_bytes(B),io_bytes(B),mem_bw(GB/s),calc_flops,calc_flops_power(tflops),calc_mem_ratio
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,32,64,4,4.644,8192,1024,9216,1.985,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,40,64,4,4.85,10240,1280,11520,2.375,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,48,64,4,5.38,12288,1536,13824,2.569,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,56,64,4,4.998,14336,1792,16128,3.227,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,64,64,4,5.348,16384,2048,18432,3.446,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,72,64,4,5.546,18432,2304,20736,3.739,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,80,64,4,6.01,20480,2560,23040,3.834,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,88,64,4,6.066,22528,2816,25344,4.178,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,96,64,4,6.114,24576,3072,27648,4.522,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,104,64,4,6.43,26624,3328,29952,4.658,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,112,64,4,6.93,28672,3584,32256,4.655,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,120,64,4,7.654,30720,3840,34560,4.515,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,128,64,4,7.658,32768,4096,36864,4.814,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,144,64,4,8.372,36864,4608,41472,4.954,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,160,64,4,8.388,40960,5120,46080,5.493,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,176,64,4,9.188,45056,5632,50688,5.517,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,192,64,4,9.208,49152,6144,55296,6.005,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,208,64,4,9.89,53248,6656,59904,6.057,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,224,64,4,9.954,57344,7168,64512,6.481,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,240,64,4,10.672,61440,7680,69120,6.477,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,256,64,4,11.374,65536,8192,73728,6.482,0,0.0,0.0
moe_softmax_topk_triton,llm,float32,pre-softmax,4096,1,288,64,4,12.15,73728,9216,82944,6.827,0,0.0,0.0
